date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2023-06-12,FY24,2023-06,Jun,2023Q2,2023-W24,Monday,0
2023-06-13,FY24,2023-06,Jun,2023Q2,2023-W24,Tuesday,0
2023-06-14,FY24,2023-06,Jun,2023Q2,2023-W24,Wednesday,0
2023-06-15,FY24,2023-06,Jun,2023Q2,2023-W24,Thursday,0
2023-06-16,FY24,2023-06,Jun,2023Q2,2023-W24,Friday,0
2023-06-17,FY24,2023-06,Jun,2023Q2,2023-W24,Saturday,0
2023-06-18,FY24,2023-06,Jun,2023Q2,2023-W25,Sunday,0
2023-06-19,FY24,2023-06,Jun,2023Q2,2023-W25,Monday,0
2023-06-20,FY24,2023-06,Jun,2023Q2,2023-W25,Tuesday,0
2023-06-21,FY24,2023-06,Jun,2023Q2,2023-W25,Wednesday,0
2023-06-22,FY24,2023-06,Jun,2023Q2,2023-W25,Thursday,0
2023-06-23,FY24,2023-06,Jun,2023Q2,2023-W25,Friday,0
2023-06-24,FY24,2023-06,Jun,2023Q2,2023-W25,Saturday,0
2023-06-25,FY24,2023-06,Jun,2023Q2,2023-W26,Sunday,0
2023-06-26,FY24,2023-06,Jun,2023Q2,2023-W26,Monday,0
2023-06-27,FY24,2023-06,Jun,2023Q2,2023-W26,Tuesday,0
2023-06-28,FY24,2023-06,Jun,2023Q2,2023-W26,Wednesday,0
2023-06-29,FY24,2023-06,Jun,2023Q2,2023-W26,Thursday,0
2023-06-30,FY24,2023-06,Jun,2023Q2,2023-W26,Friday,0
2023-07-01,FY24,2023-07,Jul,2023Q3,2023-W26,Saturday,0
2023-07-02,FY24,2023-07,Jul,2023Q3,2023-W27,Sunday,0
2023-07-03,FY24,2023-07,Jul,2023Q3,2023-W27,Monday,0
2023-07-04,FY24,2023-07,Jul,2023Q3,2023-W27,Tuesday,0
2023-07-05,FY24,2023-07,Jul,2023Q3,2023-W27,Wednesday,0
2023-07-06,FY24,2023-07,Jul,2023Q3,2023-W27,Thursday,0
2023-07-07,FY24,2023-07,Jul,2023Q3,2023-W27,Friday,0
2023-07-08,FY24,2023-07,Jul,2023Q3,2023-W27,Saturday,0
2023-07-09,FY24,2023-07,Jul,2023Q3,2023-W28,Sunday,0
2023-07-10,FY24,2023-07,Jul,2023Q3,2023-W28,Monday,0
2023-07-11,FY24,2023-07,Jul,2023Q3,2023-W28,Tuesday,0
2023-07-12,FY24,2023-07,Jul,2023Q3,2023-W28,Wednesday,0
2023-07-13,FY24,2023-07,Jul,2023Q3,2023-W28,Thursday,0
2023-07-14,FY24,2023-07,Jul,2023Q3,2023-W28,Friday,0
2023-07-15,FY24,2023-07,Jul,2023Q3,2023-W28,Saturday,0
2023-07-16,FY24,2023-07,Jul,2023Q3,2023-W29,Sunday,0
2023-07-17,FY24,2023-07,Jul,2023Q3,2023-W29,Monday,0
2023-07-18,FY24,2023-07,Jul,2023Q3,2023-W29,Tuesday,0
2023-07-19,FY24,2023-07,Jul,2023Q3,2023-W29,Wednesday,0
