date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2024-03-20,FY24,2024-03,Mar,2024Q1,2024-W11,Wednesday,0
2024-03-21,FY24,2024-03,Mar,2024Q1,2024-W11,Thursday,0
2024-03-22,FY24,2024-03,Mar,2024Q1,2024-W11,Friday,0
2024-03-23,FY24,2024-03,Mar,2024Q1,2024-W11,Saturday,0
2024-03-24,FY24,2024-03,Mar,2024Q1,2024-W12,Sunday,0
2024-03-25,FY24,2024-03,Mar,2024Q1,2024-W12,Monday,0
2024-03-26,FY24,2024-03,Mar,2024Q1,2024-W12,Tuesday,0
2024-03-27,FY24,2024-03,Mar,2024Q1,2024-W12,Wednesday,0
2024-03-28,FY24,2024-03,Mar,2024Q1,2024-W12,Thursday,0
2024-03-29,FY24,2024-03,Mar,2024Q1,2024-W12,Friday,0
2024-03-30,FY24,2024-03,Mar,2024Q1,2024-W12,Saturday,0
2024-03-31,FY24,2024-03,Mar,2024Q1,2024-W13,Sunday,0
2024-04-01,FY25,2024-04,Apr,2024Q2,2024-W13,Monday,0
2024-04-02,FY25,2024-04,Apr,2024Q2,2024-W13,Tuesday,0
2024-04-03,FY25,2024-04,Apr,2024Q2,2024-W13,Wednesday,0
2024-04-04,FY25,2024-04,Apr,2024Q2,2024-W13,Thursday,0
2024-04-05,FY25,2024-04,Apr,2024Q2,2024-W13,Friday,0
2024-04-06,FY25,2024-04,Apr,2024Q2,2024-W13,Saturday,0
2024-04-07,FY25,2024-04,Apr,2024Q2,2024-W14,Sunday,0
2024-04-08,FY25,2024-04,Apr,2024Q2,2024-W14,Monday,0
2024-04-09,FY25,2024-04,Apr,2024Q2,2024-W14,Tuesday,0
2024-04-10,FY25,2024-04,Apr,2024Q2,2024-W14,Wednesday,0
2024-04-11,FY25,2024-04,Apr,2024Q2,2024-W14,Thursday,0
2024-04-12,FY25,2024-04,Apr,2024Q2,2024-W14,Friday,0
2024-04-13,FY25,2024-04,Apr,2024Q2,2024-W14,Saturday,0
2024-04-14,FY25,2024-04,Apr,2024Q2,2024-W15,Sunday,0
2024-04-15,FY25,2024-04,Apr,2024Q2,2024-W15,Monday,0
2024-04-16,FY25,2024-04,Apr,2024Q2,2024-W15,Tuesday,0
2024-04-17,FY25,2024-04,Apr,2024Q2,2024-W15,Wednesday,0
2024-04-18,FY25,2024-04,Apr,2024Q2,2024-W15,Thursday,0
2024-04-19,FY25,2024-04,Apr,2024Q2,2024-W15,Friday,0
2024-04-20,FY25,2024-04,Apr,2024Q2,2024-W15,Saturday,0
2024-04-21,FY25,2024-04,Apr,2024Q2,2024-W16,Sunday,0
2024-04-22,FY25,2024-04,Apr,2024Q2,2024-W16,Monday,0
2024-04-23,FY25,2024-04,Apr,2024Q2,2024-W16,Tuesday,0
2024-04-24,FY25,2024-04,Apr,2024Q2,2024-W16,Wednesday,0
2024-04-25,FY25,2024-04,Apr,2024Q2,2024-W16,Thursday,0
2024-04-26,FY25,2024-04,Apr,2024Q2,2024-W16,Friday,0
2024-04-27,FY25,2024-04,Apr,2024Q2,2024-W16,Saturday,0
2024-04-28,FY25,2024-04,Apr,2024Q2,2024-W17,Sunday,0
2024-04-29,FY25,2024-04,Apr,2024Q2,2024-W17,Monday,0
2024-04-30,FY25,2024-04,Apr,2024Q2,2024-W17,Tuesday,0
2024-05-01,FY25,2024-05,May,2024Q2,2024-W17,Wednesday,0
2024-05-02,FY25,2024-05,May,2024Q2,2024-W17,Thursday,0
2024-05-03,FY25,2024-05,May,2024Q2,2024-W17,Friday,0
2024-05-04,FY25,2024-05,May,2024Q2,2024-W17,Saturday,0
2024-05-05,FY25,2024-05,May,2024Q2,2024-W18,Sunday,0
2024-05-06,FY25,2024-05,May,2024Q2,2024-W18,Monday,0
2024-05-07,FY25,2024-05,May,2024Q2,2024-W18,Tuesday,0
2024-05-08,FY25,2024-05,May,2024Q2,2024-W18,Wednesday,0
2024-05-09,FY25,2024-05,May,2024Q2,2024-W18,Thursday,0
2024-05-10,FY25,2024-05,May,2024Q2,2024-W18,Friday,0
2024-05-11,FY25,2024-05,May,2024Q2,2024-W18,Saturday,0
2024-05-12,FY25,2024-05,May,2024Q2,2024-W19,Sunday,0
2024-05-13,FY25,2024-05,May,2024Q2,2024-W19,Monday,0
2024-05-14,FY25,2024-05,May,2024Q2,2024-W19,Tuesday,0
2024-05-15,FY25,2024-05,May,2024Q2,2024-W19,Wednesday,0
2024-05-16,FY25,2024-05,May,2024Q2,2024-W19,Thursday,0
2024-05-17,FY25,2024-05,May,2024Q2,2024-W19,Friday,0
2024-05-18,FY25,2024-05,May,2024Q2,2024-W19,Saturday,0
2024-05-19,FY25,2024-05,May,2024Q2,2024-W20,Sunday,0
2024-05-20,FY25,2024-05,May,2024Q2,2024-W20,Monday,0
2024-05-21,FY25,2024-05,May,2024Q2,2024-W20,Tuesday,0
2024-05-22,FY25,2024-05,May,2024Q2,2024-W20,Wednesday,0
2024-05-23,FY25,2024-05,May,2024Q2,2024-W20,Thursday,0
2024-05-24,FY25,2024-05,May,2024Q2,2024-W20,Friday,0
2024-05-25,FY25,2024-05,May,2024Q2,2024-W20,Saturday,0
2024-05-26,FY25,2024-05,May,2024Q2,2024-W21,Sunday,0
2024-05-27,FY25,2024-05,May,2024Q2,2024-W21,Monday,0
2024-05-28,FY25,2024-05,May,2024Q2,2024-W21,Tuesday,0
2024-05-29,FY25,2024-05,May,2024Q2,2024-W21,Wednesday,0
2024-05-30,FY25,2024-05,May,2024Q2,2024-W21,Thursday,0
2024-05-31,FY25,2024-05,May,2024Q2,2024-W21,Friday,0
2024-06-01,FY25,2024-06,Jun,2024Q2,2024-W21,Saturday,0
2024-06-02,FY25,2024-06,Jun,2024Q2,2024-W22,Sunday,0
2024-06-03,FY25,2024-06,Jun,2024Q2,2024-W22,Monday,0
2024-06-04,FY25,2024-06,Jun,2024Q2,2024-W22,Tuesday,0
2024-06-05,FY25,2024-06,Jun,2024Q2,2024-W22,Wednesday,0
2024-06-06,FY25,2024-06,Jun,2024Q2,2024-W22,Thursday,0
2024-06-07,FY25,2024-06,Jun,2024Q2,2024-W22,Friday,0
2024-06-08,FY25,2024-06,Jun,2024Q2,2024-W22,Saturday,0
2024-06-09,FY25,2024-06,Jun,2024Q2,2024-W23,Sunday,0
2024-06-10,FY25,2024-06,Jun,2024Q2,2024-W23,Monday,0
2024-06-11,FY25,2024-06,Jun,2024Q2,2024-W23,Tuesday,0
2024-06-12,FY25,2024-06,Jun,2024Q2,2024-W23,Wednesday,0
2024-06-13,FY25,2024-06,Jun,2024Q2,2024-W23,Thursday,0
2024-06-14,FY25,2024-06,Jun,2024Q2,2024-W23,Friday,0
2024-06-15,FY25,2024-06,Jun,2024Q2,2024-W23,Saturday,0
2024-06-16,FY25,2024-06,Jun,2024Q2,2024-W24,Sunday,0
2024-06-17,FY25,2024-06,Jun,2024Q2,2024-W24,Monday,0
2024-06-18,FY25,2024-06,Jun,2024Q2,2024-W24,Tuesday,0
2024-06-19,FY25,2024-06,Jun,2024Q2,2024-W24,Wednesday,0
2024-06-20,FY25,2024-06,Jun,2024Q2,2024-W24,Thursday,0
2024-06-21,FY25,2024-06,Jun,2024Q2,2024-W24,Friday,0
2024-06-22,FY25,2024-06,Jun,2024Q2,2024-W24,Saturday,0
2024-06-23,FY25,2024-06,Jun,2024Q2,2024-W25,Sunday,0
2024-06-24,FY25,2024-06,Jun,2024Q2,2024-W25,Monday,0
2024-06-25,FY25,2024-06,Jun,2024Q2,2024-W25,Tuesday,0
2024-06-26,FY25,2024-06,Jun,2024Q2,2024-W25,Wednesday,0
2024-06-27,FY25,2024-06,Jun,2024Q2,2024-W25,Thursday,0
2024-06-28,FY25,2024-06,Jun,2024Q2,2024-W25,Friday,0
2024-06-29,FY25,2024-06,Jun,2024Q2,2024-W25,Saturday,0
2024-06-30,FY25,2024-06,Jun,2024Q2,2024-W26,Sunday,0
2024-07-01,FY25,2024-07,Jul,2024Q3,2024-W26,Monday,0
2024-07-02,FY25,2024-07,Jul,2024Q3,2024-W26,Tuesday,0
2024-07-03,FY25,2024-07,Jul,2024Q3,2024-W26,Wednesday,0
2024-07-04,FY25,2024-07,Jul,2024Q3,2024-W26,Thursday,0
2024-07-05,FY25,2024-07,Jul,2024Q3,2024-W26,Friday,0
2024-07-06,FY25,2024-07,Jul,2024Q3,2024-W26,Saturday,0
2024-07-07,FY25,2024-07,Jul,2024Q3,2024-W27,Sunday,0
2024-07-08,FY25,2024-07,Jul,2024Q3,2024-W27,Monday,0
2024-07-09,FY25,2024-07,Jul,2024Q3,2024-W27,Tuesday,0
2024-07-10,FY25,2024-07,Jul,2024Q3,2024-W27,Wednesday,0
2024-07-11,FY25,2024-07,Jul,2024Q3,2024-W27,Thursday,0
2024-07-12,FY25,2024-07,Jul,2024Q3,2024-W27,Friday,0
2024-07-13,FY25,2024-07,Jul,2024Q3,2024-W27,Saturday,0
2024-07-14,FY25,2024-07,Jul,2024Q3,2024-W28,Sunday,0
2024-07-15,FY25,2024-07,Jul,2024Q3,2024-W28,Monday,0
2024-07-16,FY25,2024-07,Jul,2024Q3,2024-W28,Tuesday,0
2024-07-17,FY25,2024-07,Jul,2024Q3,2024-W28,Wednesday,0
2024-07-18,FY25,2024-07,Jul,2024Q3,2024-W28,Thursday,0
2024-07-19,FY25,2024-07,Jul,2024Q3,2024-W28,Friday,0
2024-07-20,FY25,2024-07,Jul,2024Q3,2024-W28,Saturday,0
2024-07-21,FY25,2024-07,Jul,2024Q3,2024-W29,Sunday,0
2024-07-22,FY25,2024-07,Jul,2024Q3,2024-W29,Monday,0
2024-07-23,FY25,2024-07,Jul,2024Q3,2024-W29,Tuesday,0
2024-07-24,FY25,2024-07,Jul,2024Q3,2024-W29,Wednesday,0
2024-07-25,FY25,2024-07,Jul,2024Q3,2024-W29,Thursday,0
2024-07-26,FY25,2024-07,Jul,2024Q3,2024-W29,Friday,0
2024-07-27,FY25,2024-07,Jul,2024Q3,2024-W29,Saturday,0
2024-07-28,FY25,2024-07,Jul,2024Q3,2024-W30,Sunday,0
2024-07-29,FY25,2024-07,Jul,2024Q3,2024-W30,Monday,0
2024-07-30,FY25,2024-07,Jul,2024Q3,2024-W30,Tuesday,0
2024-07-31,FY25,2024-07,Jul,2024Q3,2024-W30,Wednesday,0
2024-08-01,FY25,2024-08,Aug,2024Q3,2024-W30,Thursday,0
2024-08-02,FY25,2024-08,Aug,2024Q3,2024-W30,Friday,0
2024-08-03,FY25,2024-08,Aug,2024Q3,2024-W30,Saturday,0
2024-08-04,FY25,2024-08,Aug,2024Q3,2024-W31,Sunday,0
2024-08-05,FY25,2024-08,Aug,2024Q3,2024-W31,Monday,0
2024-08-06,FY25,2024-08,Aug,2024Q3,2024-W31,Tuesday,0
2024-08-07,FY25,2024-08,Aug,2024Q3,2024-W31,Wednesday,0
2024-08-08,FY25,2024-08,Aug,2024Q3,2024-W31,Thursday,0
2024-08-09,FY25,2024-08,Aug,2024Q3,2024-W31,Friday,0
2024-08-10,FY25,2024-08,Aug,2024Q3,2024-W31,Saturday,0
2024-08-11,FY25,2024-08,Aug,2024Q3,2024-W32,Sunday,0
2024-08-12,FY25,2024-08,Aug,2024Q3,2024-W32,Monday,0
2024-08-13,FY25,2024-08,Aug,2024Q3,2024-W32,Tuesday,0
2024-08-14,FY25,2024-08,Aug,2024Q3,2024-W32,Wednesday,0
2024-08-15,FY25,2024-08,Aug,2024Q3,2024-W32,Thursday,0
2024-08-16,FY25,2024-08,Aug,2024Q3,2024-W32,Friday,0
2024-08-17,FY25,2024-08,Aug,2024Q3,2024-W32,Saturday,0
2024-08-18,FY25,2024-08,Aug,2024Q3,2024-W33,Sunday,0
2024-08-19,FY25,2024-08,Aug,2024Q3,2024-W33,Monday,0
2024-08-20,FY25,2024-08,Aug,2024Q3,2024-W33,Tuesday,0
2024-08-21,FY25,2024-08,Aug,2024Q3,2024-W33,Wednesday,0
2024-08-22,FY25,2024-08,Aug,2024Q3,2024-W33,Thursday,0
2024-08-23,FY25,2024-08,Aug,2024Q3,2024-W33,Friday,0
2024-08-24,FY25,2024-08,Aug,2024Q3,2024-W33,Saturday,0
2024-08-25,FY25,2024-08,Aug,2024Q3,2024-W34,Sunday,0
2024-08-26,FY25,2024-08,Aug,2024Q3,2024-W34,Monday,0
2024-08-27,FY25,2024-08,Aug,2024Q3,2024-W34,Tuesday,0
2024-08-28,FY25,2024-08,Aug,2024Q3,2024-W34,Wednesday,0
2024-08-29,FY25,2024-08,Aug,2024Q3,2024-W34,Thursday,0
2024-08-30,FY25,2024-08,Aug,2024Q3,2024-W34,Friday,0
2024-08-31,FY25,2024-08,Aug,2024Q3,2024-W34,Saturday,0
2024-09-01,FY25,2024-09,Sep,2024Q3,2024-W35,Sunday,0
2024-09-02,FY25,2024-09,Sep,2024Q3,2024-W35,Monday,0
2024-09-03,FY25,2024-09,Sep,2024Q3,2024-W35,Tuesday,0
2024-09-04,FY25,2024-09,Sep,2024Q3,2024-W35,Wednesday,0
2024-09-05,FY25,2024-09,Sep,2024Q3,2024-W35,Thursday,0
2024-09-06,FY25,2024-09,Sep,2024Q3,2024-W35,Friday,0
2024-09-07,FY25,2024-09,Sep,2024Q3,2024-W35,Saturday,0
2024-09-08,FY25,2024-09,Sep,2024Q3,2024-W36,Sunday,0
2024-09-09,FY25,2024-09,Sep,2024Q3,2024-W36,Monday,0
2024-09-10,FY25,2024-09,Sep,2024Q3,2024-W36,Tuesday,0
2024-09-11,FY25,2024-09,Sep,2024Q3,2024-W36,Wednesday,0
2024-09-12,FY25,2024-09,Sep,2024Q3,2024-W36,Thursday,0
2024-09-13,FY25,2024-09,Sep,2024Q3,2024-W36,Friday,0
2024-09-14,FY25,2024-09,Sep,2024Q3,2024-W36,Saturday,0
2024-09-15,FY25,2024-09,Sep,2024Q3,2024-W37,Sunday,0
2024-09-16,FY25,2024-09,Sep,2024Q3,2024-W37,Monday,0
2024-09-17,FY25,2024-09,Sep,2024Q3,2024-W37,Tuesday,0
2024-09-18,FY25,2024-09,Sep,2024Q3,2024-W37,Wednesday,0
2024-09-19,FY25,2024-09,Sep,2024Q3,2024-W37,Thursday,0
2024-09-20,FY25,2024-09,Sep,2024Q3,2024-W37,Friday,0
2024-09-21,FY25,2024-09,Sep,2024Q3,2024-W37,Saturday,0
2024-09-22,FY25,2024-09,Sep,2024Q3,2024-W38,Sunday,0
2024-09-23,FY25,2024-09,Sep,2024Q3,2024-W38,Monday,0
2024-09-24,FY25,2024-09,Sep,2024Q3,2024-W38,Tuesday,0
2024-09-25,FY25,2024-09,Sep,2024Q3,2024-W38,Wednesday,0
2024-09-26,FY25,2024-09,Sep,2024Q3,2024-W38,Thursday,0
2024-09-27,FY25,2024-09,Sep,2024Q3,2024-W38,Friday,0
2024-09-28,FY25,2024-09,Sep,2024Q3,2024-W38,Saturday,0
2024-09-29,FY25,2024-09,Sep,2024Q3,2024-W39,Sunday,0
2024-09-30,FY25,2024-09,Sep,2024Q3,2024-W39,Monday,0
2024-10-01,FY25,2024-10,Oct,2024Q4,2024-W39,Tuesday,1
2024-10-02,FY25,2024-10,Oct,2024Q4,2024-W39,Wednesday,1
2024-10-03,FY25,2024-10,Oct,2024Q4,2024-W39,Thursday,1
2024-10-04,FY25,2024-10,Oct,2024Q4,2024-W39,Friday,1
2024-10-05,FY25,2024-10,Oct,2024Q4,2024-W39,Saturday,1
2024-10-06,FY25,2024-10,Oct,2024Q4,2024-W40,Sunday,1
2024-10-07,FY25,2024-10,Oct,2024Q4,2024-W40,Monday,1
2024-10-08,FY25,2024-10,Oct,2024Q4,2024-W40,Tuesday,1
2024-10-09,FY25,2024-10,Oct,2024Q4,2024-W40,Wednesday,1
2024-10-10,FY25,2024-10,Oct,2024Q4,2024-W40,Thursday,1
2024-10-11,FY25,2024-10,Oct,2024Q4,2024-W40,Friday,1
2024-10-12,FY25,2024-10,Oct,2024Q4,2024-W40,Saturday,1
2024-10-13,FY25,2024-10,Oct,2024Q4,2024-W41,Sunday,1
2024-10-14,FY25,2024-10,Oct,2024Q4,2024-W41,Monday,1
2024-10-15,FY25,2024-10,Oct,2024Q4,2024-W41,Tuesday,1
2024-10-16,FY25,2024-10,Oct,2024Q4,2024-W41,Wednesday,1
2024-10-17,FY25,2024-10,Oct,2024Q4,2024-W41,Thursday,1
2024-10-18,FY25,2024-10,Oct,2024Q4,2024-W41,Friday,1
2024-10-19,FY25,2024-10,Oct,2024Q4,2024-W41,Saturday,1
2024-10-20,FY25,2024-10,Oct,2024Q4,2024-W42,Sunday,1
2024-10-21,FY25,2024-10,Oct,2024Q4,2024-W42,Monday,1
2024-10-22,FY25,2024-10,Oct,2024Q4,2024-W42,Tuesday,1
2024-10-23,FY25,2024-10,Oct,2024Q4,2024-W42,Wednesday,1
2024-10-24,FY25,2024-10,Oct,2024Q4,2024-W42,Thursday,1
2024-10-25,FY25,2024-10,Oct,2024Q4,2024-W42,Friday,1
2024-10-26,FY25,2024-10,Oct,2024Q4,2024-W42,Saturday,1
2024-10-27,FY25,2024-10,Oct,2024Q4,2024-W43,Sunday,1
2024-10-28,FY25,2024-10,Oct,2024Q4,2024-W43,Monday,1
2024-10-29,FY25,2024-10,Oct,2024Q4,2024-W43,Tuesday,1
2024-10-30,FY25,2024-10,Oct,2024Q4,2024-W43,Wednesday,1
2024-10-31,FY25,2024-10,Oct,2024Q4,2024-W43,Thursday,1
2024-11-01,FY25,2024-11,Nov,2024Q4,2024-W43,Friday,1
2024-11-02,FY25,2024-11,Nov,2024Q4,2024-W43,Saturday,1
2024-11-03,FY25,2024-11,Nov,2024Q4,2024-W44,Sunday,1
2024-11-04,FY25,2024-11,Nov,2024Q4,2024-W44,Monday,1
2024-11-05,FY25,2024-11,Nov,2024Q4,2024-W44,Tuesday,1
2024-11-06,FY25,2024-11,Nov,2024Q4,2024-W44,Wednesday,1
2024-11-07,FY25,2024-11,Nov,2024Q4,2024-W44,Thursday,1
2024-11-08,FY25,2024-11,Nov,2024Q4,2024-W44,Friday,1
2024-11-09,FY25,2024-11,Nov,2024Q4,2024-W44,Saturday,1
2024-11-10,FY25,2024-11,Nov,2024Q4,2024-W45,Sunday,1
2024-11-11,FY25,2024-11,Nov,2024Q4,2024-W45,Monday,1
2024-11-12,FY25,2024-11,Nov,2024Q4,2024-W45,Tuesday,1
2024-11-13,FY25,2024-11,Nov,2024Q4,2024-W45,Wednesday,1
2024-11-14,FY25,2024-11,Nov,2024Q4,2024-W45,Thursday,1
2024-11-15,FY25,2024-11,Nov,2024Q4,2024-W45,Friday,1
2024-11-16,FY25,2024-11,Nov,2024Q4,2024-W45,Saturday,1
2024-11-17,FY25,2024-11,Nov,2024Q4,2024-W46,Sunday,1
2024-11-18,FY25,2024-11,Nov,2024Q4,2024-W46,Monday,1
2024-11-19,FY25,2024-11,Nov,2024Q4,2024-W46,Tuesday,1
2024-11-20,FY25,2024-11,Nov,2024Q4,2024-W46,Wednesday,1
2024-11-21,FY25,2024-11,Nov,2024Q4,2024-W46,Thursday,1
2024-11-22,FY25,2024-11,Nov,2024Q4,2024-W46,Friday,1
2024-11-23,FY25,2024-11,Nov,2024Q4,2024-W46,Saturday,1
2024-11-24,FY25,2024-11,Nov,2024Q4,2024-W47,Sunday,1
2024-11-25,FY25,2024-11,Nov,2024Q4,2024-W47,Monday,1
2024-11-26,FY25,2024-11,Nov,2024Q4,2024-W47,Tuesday,1
2024-11-27,FY25,2024-11,Nov,2024Q4,2024-W47,Wednesday,1
2024-11-28,FY25,2024-11,Nov,2024Q4,2024-W47,Thursday,1
2024-11-29,FY25,2024-11,Nov,2024Q4,2024-W47,Friday,1
2024-11-30,FY25,2024-11,Nov,2024Q4,2024-W47,Saturday,1
2024-12-01,FY25,2024-12,Dec,2024Q4,2024-W48,Sunday,1
2024-12-02,FY25,2024-12,Dec,2024Q4,2024-W48,Monday,1
2024-12-03,FY25,2024-12,Dec,2024Q4,2024-W48,Tuesday,1
2024-12-04,FY25,2024-12,Dec,2024Q4,2024-W48,Wednesday,1
2024-12-05,FY25,2024-12,Dec,2024Q4,2024-W48,Thursday,1
2024-12-06,FY25,2024-12,Dec,2024Q4,2024-W48,Friday,1
2024-12-07,FY25,2024-12,Dec,2024Q4,2024-W48,Saturday,1
2024-12-08,FY25,2024-12,Dec,2024Q4,2024-W49,Sunday,1
2024-12-09,FY25,2024-12,Dec,2024Q4,2024-W49,Monday,1
2024-12-10,FY25,2024-12,Dec,2024Q4,2024-W49,Tuesday,1
2024-12-11,FY25,2024-12,Dec,2024Q4,2024-W49,Wednesday,1
2024-12-12,FY25,2024-12,Dec,2024Q4,2024-W49,Thursday,1
2024-12-13,FY25,2024-12,Dec,2024Q4,2024-W49,Friday,1
2024-12-14,FY25,2024-12,Dec,2024Q4,2024-W49,Saturday,1
2024-12-15,FY25,2024-12,Dec,2024Q4,2024-W50,Sunday,1
2024-12-16,FY25,2024-12,Dec,2024Q4,2024-W50,Monday,1
2024-12-17,FY25,2024-12,Dec,2024Q4,2024-W50,Tuesday,1
2024-12-18,FY25,2024-12,Dec,2024Q4,2024-W50,Wednesday,1
2024-12-19,FY25,2024-12,Dec,2024Q4,2024-W50,Thursday,1
2024-12-20,FY25,2024-12,Dec,2024Q4,2024-W50,Friday,1
2024-12-21,FY25,2024-12,Dec,2024Q4,2024-W50,Saturday,1
2024-12-22,FY25,2024-12,Dec,2024Q4,2024-W51,Sunday,1
2024-12-23,FY25,2024-12,Dec,2024Q4,2024-W51,Monday,1
2024-12-24,FY25,2024-12,Dec,2024Q4,2024-W51,Tuesday,1
2024-12-25,FY25,2024-12,Dec,2024Q4,2024-W51,Wednesday,1
2024-12-26,FY25,2024-12,Dec,2024Q4,2024-W51,Thursday,1
2024-12-27,FY25,2024-12,Dec,2024Q4,2024-W51,Friday,1
2024-12-28,FY25,2024-12,Dec,2024Q4,2024-W51,Saturday,1
2024-12-29,FY25,2024-12,Dec,2024Q4,2024-W52,Sunday,1
2024-12-30,FY25,2024-12,Dec,2024Q4,2024-W52,Monday,1
2024-12-31,FY25,2024-12,Dec,2024Q4,2024-W52,Tuesday,1
2025-01-01,FY25,2025-01,Jan,2025Q1,2025-W00,Wednesday,1
2025-01-02,FY25,2025-01,Jan,2025Q1,2025-W00,Thursday,1
2025-01-03,FY25,2025-01,Jan,2025Q1,2025-W00,Friday,1
2025-01-04,FY25,2025-01,Jan,2025Q1,2025-W00,Saturday,1
2025-01-05,FY25,2025-01,Jan,2025Q1,2025-W01,Sunday,1
2025-01-06,FY25,2025-01,Jan,2025Q1,2025-W01,Monday,1
2025-01-07,FY25,2025-01,Jan,2025Q1,2025-W01,Tuesday,1
2025-01-08,FY25,2025-01,Jan,2025Q1,2025-W01,Wednesday,1
2025-01-09,FY25,2025-01,Jan,2025Q1,2025-W01,Thursday,1
2025-01-10,FY25,2025-01,Jan,2025Q1,2025-W01,Friday,1
2025-01-11,FY25,2025-01,Jan,2025Q1,2025-W01,Saturday,1
2025-01-12,FY25,2025-01,Jan,2025Q1,2025-W02,Sunday,1
2025-01-13,FY25,2025-01,Jan,2025Q1,2025-W02,Monday,1
2025-01-14,FY25,2025-01,Jan,2025Q1,2025-W02,Tuesday,1
2025-01-15,FY25,2025-01,Jan,2025Q1,2025-W02,Wednesday,1
2025-01-16,FY25,2025-01,Jan,2025Q1,2025-W02,Thursday,1
2025-01-17,FY25,2025-01,Jan,2025Q1,2025-W02,Friday,1
2025-01-18,FY25,2025-01,Jan,2025Q1,2025-W02,Saturday,1
2025-01-19,FY25,2025-01,Jan,2025Q1,2025-W03,Sunday,1
2025-01-20,FY25,2025-01,Jan,2025Q1,2025-W03,Monday,1
2025-01-21,FY25,2025-01,Jan,2025Q1,2025-W03,Tuesday,1
2025-01-22,FY25,2025-01,Jan,2025Q1,2025-W03,Wednesday,1
2025-01-23,FY25,2025-01,Jan,2025Q1,2025-W03,Thursday,1
2025-01-24,FY25,2025-01,Jan,2025Q1,2025-W03,Friday,1
2025-01-25,FY25,2025-01,Jan,2025Q1,2025-W03,Saturday,1
2025-01-26,FY25,2025-01,Jan,2025Q1,2025-W04,Sunday,1
2025-01-27,FY25,2025-01,Jan,2025Q1,2025-W04,Monday,1
2025-01-28,FY25,2025-01,Jan,2025Q1,2025-W04,Tuesday,1
2025-01-29,FY25,2025-01,Jan,2025Q1,2025-W04,Wednesday,1
2025-01-30,FY25,2025-01,Jan,2025Q1,2025-W04,Thursday,1
2025-01-31,FY25,2025-01,Jan,2025Q1,2025-W04,Friday,1
2025-02-01,FY25,2025-02,Feb,2025Q1,2025-W04,Saturday,1
2025-02-02,FY25,2025-02,Feb,2025Q1,2025-W05,Sunday,1
2025-02-03,FY25,2025-02,Feb,2025Q1,2025-W05,Monday,1
2025-02-04,FY25,2025-02,Feb,2025Q1,2025-W05,Tuesday,1
2025-02-05,FY25,2025-02,Feb,2025Q1,2025-W05,Wednesday,1
2025-02-06,FY25,2025-02,Feb,2025Q1,2025-W05,Thursday,1
2025-02-07,FY25,2025-02,Feb,2025Q1,2025-W05,Friday,1
2025-02-08,FY25,2025-02,Feb,2025Q1,2025-W05,Saturday,1
2025-02-09,FY25,2025-02,Feb,2025Q1,2025-W06,Sunday,1
2025-02-10,FY25,2025-02,Feb,2025Q1,2025-W06,Monday,1
2025-02-11,FY25,2025-02,Feb,2025Q1,2025-W06,Tuesday,1
2025-02-12,FY25,2025-02,Feb,2025Q1,2025-W06,Wednesday,1
2025-02-13,FY25,2025-02,Feb,2025Q1,2025-W06,Thursday,1
2025-02-14,FY25,2025-02,Feb,2025Q1,2025-W06,Friday,1
2025-02-15,FY25,2025-02,Feb,2025Q1,2025-W06,Saturday,1
2025-02-16,FY25,2025-02,Feb,2025Q1,2025-W07,Sunday,1
2025-02-17,FY25,2025-02,Feb,2025Q1,2025-W07,Monday,1
2025-02-18,FY25,2025-02,Feb,2025Q1,2025-W07,Tuesday,1
2025-02-19,FY25,2025-02,Feb,2025Q1,2025-W07,Wednesday,1
2025-02-20,FY25,2025-02,Feb,2025Q1,2025-W07,Thursday,1
2025-02-21,FY25,2025-02,Feb,2025Q1,2025-W07,Friday,1
2025-02-22,FY25,2025-02,Feb,2025Q1,2025-W07,Saturday,1
2025-02-23,FY25,2025-02,Feb,2025Q1,2025-W08,Sunday,1
2025-02-24,FY25,2025-02,Feb,2025Q1,2025-W08,Monday,1
2025-02-25,FY25,2025-02,Feb,2025Q1,2025-W08,Tuesday,1
2025-02-26,FY25,2025-02,Feb,2025Q1,2025-W08,Wednesday,1
2025-02-27,FY25,2025-02,Feb,2025Q1,2025-W08,Thursday,1
2025-02-28,FY25,2025-02,Feb,2025Q1,2025-W08,Friday,1
2025-03-01,FY25,2025-03,Mar,2025Q1,2025-W08,Saturday,0
2025-03-02,FY25,2025-03,Mar,2025Q1,2025-W09,Sunday,0
2025-03-03,FY25,2025-03,Mar,2025Q1,2025-W09,Monday,0
2025-03-04,FY25,2025-03,Mar,2025Q1,2025-W09,Tuesday,0
2025-03-05,FY25,2025-03,Mar,2025Q1,2025-W09,Wednesday,0
2025-03-06,FY25,2025-03,Mar,2025Q1,2025-W09,Thursday,0
2025-03-07,FY25,2025-03,Mar,2025Q1,2025-W09,Friday,0
2025-03-08,FY25,2025-03,Mar,2025Q1,2025-W09,Saturday,0
2025-03-09,FY25,2025-03,Mar,2025Q1,2025-W10,Sunday,0
2025-03-10,FY25,2025-03,Mar,2025Q1,2025-W10,Monday,0
2025-03-11,FY25,2025-03,Mar,2025Q1,2025-W10,Tuesday,0
2025-03-12,FY25,2025-03,Mar,2025Q1,2025-W10,Wednesday,0
2025-03-13,FY25,2025-03,Mar,2025Q1,2025-W10,Thursday,0
